Cluster,region,technology,Resource,Zone,EndCap,EndEnergyCap,EndChargeCap,NewCap,RetCap,NewEnergyCap,RetEnergyCap,NewChargeCap,RetChargeCap,iter,CPA_ID,lcoe,Area,latitude,longitude,interconnect_annuity,state,m_landcover,m_primeFarmland,exFacil,plFacil,m_HMI,m_popden,cpa_mw
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,394471,30.590954,10.449933288,42.62223731988797,-74.05597832867453,4281.461,New York,43,1.0,0,0,0.475840750904,9.07142857143,47.0247
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,395274,31.049637,13.5232568438,42.38035787368336,-73.5305527264241,5268.194,New York,41,1.0,0,0,0.547305490754,7.4,60.854656
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,394828,32.22914,14.0976067924,42.7817588943717,-74.35971043136699,7539.636,New York,81,1.0,0,0,0.404406055808,9.42857142857,63.43923
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,394873,32.459682,11.6268469135,42.875395440329456,-74.47786039622356,7932.2285,New York,81,0.0,0,0,0.54070103541,5.95833333333,52.320812
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,391978,32.57609,16.0000001464,42.96093407718124,-74.55544597151811,8178.8345,New York,82,1.0,0,0,0.545272944029,9.890625,72.0
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,392034,32.653538,10.869004614,43.06241198560798,-74.5224192513774,8705.589,New York,41,1.0,0,0,0.281740669693,7.38095238095,48.910522
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,394847,32.653698,15.5500665998,42.8480352398106,-74.54086247377387,8386.254,New York,81,1.0,0,0,0.500900446407,6.12903225806,69.975296
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,391977,32.820164,14.4823926561,42.96947089883684,-74.6025196420597,8722.527,New York,81,1.0,0,0,0.530521485765,5.40677966102,65.17077
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,392455,29.671335,7.15677928714,42.65261710597265,-73.88805558185778,2000.084,New York,43,0.0,0,0,0.624982024393,15.3870967742,16.102753
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,392456,29.829496,2.34322072476,42.65336401562432,-73.86525965325643,2353.9626,New York,43,0.0,0,0,0.623404502869,24.5714285714,5.272247
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,391035,29.978426,8.59102774298,42.90006590265112,-73.97775275196264,2872.843,New York,43,1.0,0,0,0.551797484198,23.8709677419,19.329813
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,391034,30.19041,15.3813295986,42.90654314084826,-74.016301951345,3189.6052,New York,41,1.0,0,0,0.54354843305,10.6451612903,34.60799
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,392925,30.20937,10.7908645524,42.54211318553447,-73.62868944677648,3420.8767,New York,41,1.0,0,0,0.601550062035,20.1627906977,24.279446
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,323409,30.243355,3.25000009223,42.68725268692539,-73.93937655801246,3076.766,New York,43,1.0,0,0,0.604270802094,13.6153846154,7.3125
1,NY_Z_F,UtilityPV_Class1_Moderate_,NY_Z_F_utilitypv_class1_moderate_1,6.0,12171.779119981378,0.0,0.0,12171.779119981378,0.0,0.0,0.0,0.0,0.0,1,391076,31.900446,14.5268099854,43.097015130447566,-74.05726222800719,7192.739,New York,42,1.0,0,0,0.357412239961,13.5263157895,32.68532
6,PJM_EMAC,UtilityPV_Class1_Moderate_,PJM_EMAC_utilitypv_class1_moderate_6,10.0,9.43858390693176e-05,0.0,0.0,9.43858390693176e-05,0.0,0.0,0.0,0.0,0.0,1,405037,37.609123,13.7956808434,38.62118964587753,-75.75295259913914,20005.248,Maryland,82,1.0,0,0,0.626230731325,4.52830188679,124.161125
2,PJM_Rest,UtilityPV_Class1_Moderate_,PJM_Rest_utilitypv_class1_moderate_2,11.0,39322.31965650358,0.0,0.0,39322.31965650358,0.0,0.0,0.0,0.0,0.0,1,283515,27.668552,14.667473908,41.01579465682823,-85.41686738914055,2355.0227,Indiana,82,1.0,0,0,0.742216328095,4.8275862069,132.00726
2,PJM_Rest,UtilityPV_Class1_Moderate_,PJM_Rest_utilitypv_class1_moderate_2,11.0,39322.31965650358,0.0,0.0,39322.31965650358,0.0,0.0,0.0,0.0,0.0,1,287331,27.761812,15.9999997464,40.24192192363571,-85.1963269641596,1870.4125,Indiana,82,1.0,0,0,0.755601772107,2.0,144.0
2,PJM_Rest,UtilityPV_Class1_Moderate_,PJM_Rest_utilitypv_class1_moderate_2,11.0,39322.31965650358,0.0,0.0,39322.31965650358,0.0,0.0,0.0,0.0,0.0,1,279456,28.120842,15.219733912,41.57401646227645,-86.10904698808724,2759.914,Indiana,82,1.0,0,0,0.720453900392,4.04918032787,136.9776
2,PJM_Rest,UtilityPV_Class1_Moderate_,PJM_Rest_utilitypv_class1_moderate_2,11.0,39322.31965650358,0.0,0.0,39322.31965650358,0.0,0.0,0.0,0.0,0.0,1,373896,28.772783,14.9477396028,41.30041697826152,-83.7737083102951,3254.6406,Ohio,82,1.0,0,0,0.681554495278,4.38983050847,134.52966
